#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  99000      1.26e+00      2.09e-03      5.09e-02    6.1e-04
 100000      1.50e+00      1.32e-02      6.11e-02    6.0e-04
 101000      1.62e+00      1.01e-03      6.61e-02    6.0e-04
 102000      1.36e+00      2.65e-03      5.55e-02    6.0e-04
 103000      1.32e+00      6.05e-04      5.38e-02    6.0e-04
 104000      1.14e+00      5.81e-03      4.64e-02    6.0e-04
 105000      1.60e+00      1.36e-02      6.61e-02    5.8e-04
 106000      1.34e+00      3.74e-03      5.53e-02    5.8e-04
 107000      1.75e+00      2.66e-03      7.26e-02    5.8e-04
 108000      1.49e+00      5.92e-04      6.16e-02    5.8e-04
 109000      1.41e+00      2.75e-03      5.83e-02    5.8e-04
 110000      1.83e+00      2.15e-02      7.64e-02    5.7e-04
 111000      1.45e+00      6.93e-03      6.07e-02    5.7e-04
 112000      1.94e+00      2.89e-02      8.08e-02    5.7e-04
 113000      1.45e+00      7.06e-03      6.07e-02    5.7e-04
 114000      1.60e+00      1.18e-02      6.69e-02    5.7e-04
 115000      1.16e+00      7.10e-03      4.93e-02    5.5e-04
 116000      1.41e+00      6.38e-03      6.00e-02    5.5e-04
 117000      1.27e+00      1.92e-03      5.41e-02    5.5e-04
 118000      1.73e+00      5.76e-04      7.36e-02    5.5e-04
 119000      1.16e+00      2.04e-02      4.84e-02    5.5e-04
 120000      1.18e+00      3.77e-03      5.07e-02    5.4e-04
 121000      1.72e+00      3.75e-03      7.38e-02    5.4e-04
 122000      1.60e+00      1.90e-03      6.87e-02    5.4e-04
 123000      1.36e+00      4.84e-03      5.84e-02    5.4e-04
 124000      1.26e+00      3.49e-03      5.43e-02    5.4e-04
 125000      2.13e+00      3.13e-03      9.26e-02    5.3e-04
 126000      1.11e+00      5.30e-03      4.82e-02    5.3e-04
 127000      1.40e+00      1.00e-02      6.07e-02    5.3e-04
 128000      1.16e+00      6.75e-03      5.06e-02    5.3e-04
 129000      1.09e+00      3.02e-03      4.74e-02    5.3e-04
 130000      1.65e+00      9.19e-03      7.25e-02    5.1e-04
 131000      1.57e+00      1.63e-03      6.92e-02    5.1e-04
 132000      1.23e+00      5.43e-03      5.40e-02    5.1e-04
 133000      1.42e+00      4.15e-03      6.26e-02    5.1e-04
 134000      1.02e+00      4.65e-03      4.51e-02    5.1e-04
 135000      1.37e+00      5.63e-03      6.10e-02    5.0e-04
 136000      1.36e+00      8.42e-03      6.06e-02    5.0e-04
 137000      1.16e+00      9.11e-03      5.17e-02    5.0e-04
 138000      1.48e+00      1.11e-02      6.61e-02    5.0e-04
 139000      1.41e+00      9.63e-03      6.27e-02    5.0e-04
 140000      1.34e+00      8.56e-03      6.07e-02    4.9e-04
 141000      1.82e+00      3.05e-03      8.23e-02    4.9e-04
 142000      1.05e+00      1.03e-02      4.71e-02    4.9e-04
 143000      1.55e+00      1.46e-02      7.00e-02    4.9e-04
 144000      1.38e+00      1.16e-02      6.24e-02    4.9e-04
 145000      1.98e+00      5.07e-03      9.07e-02    4.8e-04
 146000      9.35e-01      4.08e-03      4.28e-02    4.8e-04
 147000      1.37e+00      1.24e-02      6.26e-02    4.8e-04
 148000      1.15e+00      1.06e-03      5.28e-02    4.8e-04
 149000      1.19e+00      1.17e-02      5.45e-02    4.8e-04
 150000      1.10e+00      1.42e-04      5.08e-02    4.6e-04
 151000      1.20e+00      4.71e-04      5.58e-02    4.6e-04
 152000      1.19e+00      6.55e-03      5.51e-02    4.6e-04
